movie_title,genre,mpaa_rating,rating_description,inflation_adjusted_gross,year,generation
Snow White and the Seven Dwarfs,Musical,G,General Audiences,5228953251,1937,n/a
Pinocchio,Adventure,G,General Audiences,2188229052,1940,n/a
Fantasia,Musical,G,General Audiences,2187090808,1940,n/a
Song of the South,Adventure,G,General Audiences,1078510579,1946,n/a
Cinderella,Drama,G,General Audiences,920608730,1950,n/a
Lady and the Tramp,Drama,G,General Audiences,1236035515,1955,n/a
101 Dalmatians,Comedy,G,General Audiences,1362870985,1961,n/a
Babes in Toyland,Musical,G,General Audiences,124841160,1961,n/a
Bon Voyage!,Comedy,Not Rated,Not Rated ,109581646,1962,n/a
The Jungle Book,Musical,Not Rated,Not Rated ,789612346,1967,n/a
The Aristocats,Musical,G,General Audiences,255161499,1970,n/a
Splash,Comedy,PG,Parental Guidance Suggested,157057661,1984,n/a
Down and Out in Beverly Hills,Comedy,R,Restricted,141183693,1986,Gen M
Ruthless People,Comedy,R,Restricted,162748712,1986,Gen M
The Color of Money,Drama,R,Restricted,117957323,1986,Gen M
Outrageous Fortune,Comedy,R,Restricted,113976921,1987,Gen M
Stakeout,Comedy,R,Restricted,141592160,1987,Gen M
3 Men and a Baby,Comedy,PG,Parental Guidance Suggested,353334607,1987,Gen M
Good Morning Vietnam,Comedy,R,Restricted,254414837,1987,Gen M
Return to Snowy River,Adventure,PG,Parental Guidance Suggested,28073384,1988,Gen M
Big Business,Comedy,PG,Parental Guidance Suggested,82352451,1988,Gen M
Who Framed Roger Rabbit?,Comedy,PG,Parental Guidance Suggested,316250084,1988,Gen M
Cocktail,Drama,R,Restricted,160442289,1988,Gen M
Ernest Saves Christmas,Comedy,PG,Parental Guidance Suggested,57845202,1988,Gen M
Oliver & Company,Adventure,G,General Audiences,102254492,1988,Gen M
Beaches,Drama,PG-13,Parents Strongly Cautioned,120381757,1988,Gen M
Three Fugitives,Comedy,PG-13,Parents Strongly Cautioned,85757817,1989,Gen M
New York Stories,Drama,PG,Parental Guidance Suggested,22740861,1989,Gen M
Dead Poets Society,Drama,PG,Parental Guidance Suggested,202531517,1989,Gen M
"Honey, I Shrunk the Kids",Adventure,PG,Parental Guidance Suggested,276191669,1989,Gen M
Turner & Hooch,Comedy,PG,Parental Guidance Suggested,150176361,1989,Gen M
An Innocent Man,Drama,R,Restricted,40983414,1989,Gen M
Gross Anatomy,Drama,PG-13,Parents Strongly Cautioned,23972012,1989,Gen M
The Little Mermaid,Adventure,G,General Audiences,223726012,1989,Gen M
Blaze,Drama,R,Restricted,39884640,1989,Gen M
Stella,Drama,PG-13,Parents Strongly Cautioned,40077147,1990,Gen M
Pretty Woman,Romantic Comedy,R,Restricted,356389765,1990,Gen M
Ernest Goes to Jail,Comedy,PG,Parental Guidance Suggested,49999822,1990,Gen M
Spaced Invaders,Comedy,PG,Parental Guidance Suggested,29964452,1990,Gen M
Fire Birds,Action,PG-13,Parents Strongly Cautioned,29485923,1990,Gen M
Dick Tracy,Action,PG,Parental Guidance Suggested,207231621,1990,Gen M
Betsy's Wedding,Comedy,R,Restricted,39433357,1990,Gen M
Arachnophobia,Thriller/Suspense,PG-13,Parents Strongly Cautioned,106290270,1990,Gen M
DuckTales: The Movie - Treasure of th…,Adventure,G,General Audiences,36107823,1990,Gen M
Taking Care of Business,Comedy,R,Restricted,39963460,1990,Gen M
Mr. Destiny,Comedy,PG-13,Parents Strongly Cautioned,30722056,1990,Gen M
The Rescuers Down Under,Adventure,G,General Audiences,55796728,1990,Gen M
3 Men and a Little Lady,Comedy,PG,Parental Guidance Suggested,143108869,1990,Gen M
Green Card,Romantic Comedy,PG-13,Parents Strongly Cautioned,59679131,1990,Gen M
White Fang,Adventure,PG,Parental Guidance Suggested,69540672,1991,Gen M
Haakon Haakonsen,Adventure,PG,Parental Guidance Suggested,30084149,1991,Gen M
The Marrying Man,Romantic Comedy,R,Restricted,24939118,1991,Gen M
Oscar,Comedy,PG,Parental Guidance Suggested,47181395,1991,Gen M
One Good Cop,Action,R,Restricted,22580472,1991,Gen M
What About Bob?,Comedy,PG,Parental Guidance Suggested,127571325,1991,Gen M
The Rocketeer,Action,PG,Parental Guidance Suggested,93256673,1991,Gen M
The Doctor,Drama,PG-13,Parents Strongly Cautioned,75084021,1991,Gen M
Paradise,Drama,PG-13,Parents Strongly Cautioned,37313540,1991,Gen M
Deceived,Thriller/Suspense,PG-13,Parents Strongly Cautioned,57544453,1991,Gen M
Ernest Scared Stupid,Comedy,PG,Parental Guidance Suggested,28320147,1991,Gen M
Billy Bathgate,Drama,R,Restricted,31167691,1991,Gen M
Beauty and the Beast,Musical,G,General Audiences,363017667,1991,Gen M
Father of the Bride,Comedy,PG,Parental Guidance Suggested,179821881,1991,Gen M
The Hand That Rocks the Cradle,Thriller/Suspense,R,Restricted,178831137,1992,Gen M
Medicine Man,Drama,PG-13,Parents Strongly Cautioned,91304495,1992,Gen M
Blame it on the Bellboy,Comedy,PG-13,Parents Strongly Cautioned,5872667,1992,Gen M
Noises Off...,Comedy,PG-13,Parents Strongly Cautioned,4631720,1992,Gen M
Straight Talk,Comedy,PG,Parental Guidance Suggested,43068356,1992,Gen M
Encino Man,Comedy,PG,Parental Guidance Suggested,81369058,1992,Gen M
Sister Act,Comedy,PG,Parental Guidance Suggested,283583472,1992,Gen M
Honey I Blew Up the Kid,Comedy,PG,Parental Guidance Suggested,119162518,1992,Gen M
A Stranger Among Us,Drama,PG-13,Parents Strongly Cautioned,24950752,1992,Gen M
3 Ninjas,Action,PG,Parental Guidance Suggested,58965304,1992,Gen M
Captain Ron,Comedy,PG-13,Parents Strongly Cautioned,45741576,1992,Gen M
Sarafina!,Drama,PG-13,Parents Strongly Cautioned,14841352,1992,Gen M
Innocent Blood,Horror,R,Restricted,9907922,1992,Gen M
The Mighty Ducks,Comedy,PG,Parental Guidance Suggested,103120810,1992,Gen M
1492: Conquest of Paradise,Adventure,PG-13,Parents Strongly Cautioned,14421454,1992,Gen M
Consenting Adults,Drama,R,Restricted,43859823,1992,Gen M
Aladdin,Comedy,G,General Audiences,441969178,1992,Gen M
The Distinguished Gentleman,Comedy,R,Restricted,94349900,1992,Gen M
The Muppet Christmas Carol,Comedy,G,General Audiences,55417615,1992,Gen M
Alive,Adventure,R,Restricted,73914543,1993,Gen M
Aspen Extreme,Romantic Comedy,PG-13,Parents Strongly Cautioned,15970955,1993,Gen M
Homeward Bound: The Incredible Journey,Adventure,G,General Audiences,85182343,1993,Gen M
